Timestamp,Speed,Deg,Temp,VX,VY
1775627167.4003558,0.563059197036727,354.64846150858466,23.9,-0.052514403292181,0.560604938271605
1775627168.4185624,2.215203686188202,182.8855162961804,23.9,-0.111514403292181,-2.2123950617283947
1775627169.436769,0.2308011296013454,357.63740467894274,23.9,-0.009514403292181,0.2306049382716051
1775627170.4549756,0.7688982905289512,189.01751968394657,23.9,-0.120514403292181,-0.7593950617283951
1775627171.4731822,0.1262077656421527,279.3962881518735,23.9,-0.124514403292181,0.0206049382716049
1775627172.4913888,0.6466322990305517,181.5520785627565,23.9,-0.017514403292181,-0.6463950617283951
1775627173.5095954,2.1728050115496744,0.7775442777415833,23.9,0.0294855967078189,2.172604938271605
1775627174.527802,1.7977105447144488,0.6210478757212741,23.9,0.0194855967078189,1.797604938271605
1775627175.5460086,1.7511070152075825,357.62666838558675,23.9,-0.072514403292181,1.749604938271605
1775627176.5642152,1.179356498223766,356.08538512580225,23.9,-0.080514403292181,1.176604938271605
1775627177.5824218,0.1493167046839869,209.9362393108474,23.9,-0.074514403292181,-0.129395061728395
1775627178.6006284,0.3019195735870214,199.0439615092808,23.9,-0.098514403292181,-0.2853950617283949
1775627179.618835,0.5467615441091436,354.909424405544,23.9,-0.048514403292181,0.5446049382716049
1775627180.6370416,0.396607720624551,0.2146166502483311,23.9,0.0014855967078189,0.396604938271605
1775627181.6552482,0.8323270720341222,356.31362959597,23.9,-0.053514403292181,0.830604938271605
1775627182.6734548,0.1125417202263771,338.35343202847946,23.9,-0.041514403292181,0.104604938271605
1775627183.6916614,0.2333384322753054,321.1042631545248,23.9,-0.146514403292181,0.1816049382716049
1775627184.709868,2.363661881624223,180.8609107784571,23.9,-0.035514403292181,-2.3633950617283945
1775627185.7280746,1.1410998939661765,185.2047179622976,23.9,-0.103514403292181,-1.1363950617283949
1775627186.7462811,0.4332865607537161,343.57523557765285,23.9,-0.122514403292181,0.4156049382716049
1775627187.7644877,1.2325300591103012,183.3728750621064,23.9,-0.072514403292181,-1.2303950617283952
1775627188.7826943,1.8164564905335296,182.72992289700832,23.9,-0.086514403292181,-1.8143950617283948
1775627189.800901,1.099056028232776,1.6416257292727892,23.9,0.0314855967078189,1.098604938271605
1775627190.8191075,0.6687241898448817,354.46384459373456,23.9,-0.064514403292181,0.665604938271605
1775627191.8373141,0.8785396089834704,357.3568318945647,23.9,-0.040514403292181,0.877604938271605
1775627192.8555207,0.2035554264347139,195.24211485244757,23.9,-0.053514403292181,-0.1963950617283949
1775627193.8737273,0.8938902521140017,187.42490312472103,23.9,-0.115514403292181,-0.8863950617283949
1775627194.891934,1.1719279729449827,358.6546920255371,23.9,-0.027514403292181,1.171604938271605
1775627195.9101405,0.358392330637564,341.3659515424008,23.9,-0.114514403292181,0.3396049382716051
1775627196.928347,0.2689526265622295,330.72596230680904,23.9,-0.131514403292181,0.2346049382716051
1775627197.9465537,0.2835988532653211,192.9416479015865,24.0,-0.063514403292181,-0.276395061728395
1775627198.9647603,0.1166888554973157,227.12511545345544,24.0,-0.085514403292181,-0.0793950617283949
1775627199.982967,1.1750367566728512,353.1319638996265,24.0,-0.140514403292181,1.166604938271605
1775627201.0011735,1.266701452131742,182.60240161016137,24.0,-0.057514403292181,-1.2653950617283949
1775627202.01938,1.54409872259806,182.6917307248297,24.0,-0.072514403292181,-1.542395061728395
1775627203.0375867,1.654125973907956,358.5618689791956,24.0,-0.041514403292181,1.653604938271605
1775627204.0557933,1.1915399971119047,184.1637509991864,24.0,-0.086514403292181,-1.188395061728395
1775627205.074,3.045826126877585,5.340446258855479,24.1,0.283485596707819,3.032604938271605
1775627206.0922065,2.445942504957331,6.419777002498677,24.1,0.2734855967078189,2.430604938271605
1775627207.110413,1.8071377480528712,9.057367137382698,24.1,0.2844855967078189,1.784604938271605
1775627208.1286197,2.313680084150708,7.362388670038115,24.1,0.2964855967078189,2.294604938271605
1775627209.1468263,2.5657617406090933,6.433322695399909,24.1,0.2874855967078189,2.549604938271605
1775627210.1650329,2.0986663384417223,7.92853807821831,24.1,0.2894855967078189,2.078604938271605
1775627211.1832395,1.7615053831661145,8.175155423509864,24.1,0.2504855967078189,1.743604938271605
1775627212.201446,2.0675911693876485,7.349394955213597,24.1,0.2644855967078189,2.050604938271605
1775627213.2196527,2.5185310257529885,6.0280779233658,24.1,0.2644855967078189,2.504604938271605
1775627214.2378592,2.715716024859816,5.843377084287567,24.1,0.2764855967078189,2.701604938271605
1775627215.2560658,2.2891483628784046,7.492218906769267,24.1,0.2984855967078189,2.269604938271605
1775627216.2742724,2.73901294154218,6.824766428944258,24.1,0.3254855967078189,2.7196049382716048
1775627217.292479,2.073596975443708,9.254767573286928,24.1,0.3334855967078189,2.046604938271605
1775627218.3106856,1.7788054451319344,10.215915660001656,24.1,0.3154855967078189,1.7506049382716051
1775627219.3288922,2.2857842601739566,7.427467721828975,24.1,0.2954855967078189,2.266604938271605
1775627220.3470988,2.51125483137254,6.987141726864422,24.1,0.3054855967078189,2.492604938271605
1775627221.3653054,2.791371349942015,6.28299200860431,24.1,0.3054855967078189,2.774604938271605
1775627222.383512,2.9254496930012697,6.1515175659437205,24.1,0.3134855967078189,2.908604938271605
